# Quarkdown v2.5.1 @QFunction public inventory; generated from the pinned source sweep.
# Columns: public-name\texact-public-signature\tpinned-source\t#151-disposition/owner\t#147-status
# Binding annotations are retained in parameter markers: [injected], [body],
# [spread], [likely-named], and [likely-body]. `inferred` preserves a source
# declaration without an explicit Kotlin return type.
docauthors	docauthors(context[injected]: MutableContext, authors: Map<String, DictionaryValue<OutputValue<String>>>? = null) -> OutputValue<*>	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Document.kt#L258-L261	#152	NOT_APPLICABLE
dockeywords	dockeywords(context[injected]: MutableContext, keywords[likely-body]: Iterable<DynamicValue>? = null) -> OutputValue<*>	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Document.kt#L314-L317	#152	NOT_APPLICABLE
doclang	doclang(context[injected]: MutableContext, locale: String? = null) -> OutputValue<*>	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Document.kt#L358-L361	#152	NOT_APPLICABLE
theme	theme(context[injected]: MutableContext, color: String? = null, layout[likely-named]: String? = null) -> VoidValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Document.kt#L390-L394	#152	NOT_APPLICABLE
numbering	numbering(context[injected]: MutableContext, merge[likely-named]: Boolean = true, formats[likely-body]: Map<String, Value<String>>) -> VoidValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Document.kt#L448-L452	#153	NOT_APPLICABLE
nonumbering	nonumbering(context[injected]: MutableContext) -> inferred	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Document.kt#L493-L495	#153	NOT_APPLICABLE
font	font(context[injected]: MutableContext, main: String? = null, heading[likely-named]: String? = null, code[likely-named]: String? = null, size[likely-named]: Size? = null) -> VoidValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Document.kt#L530-L536	#153	NOT_APPLICABLE
paragraphstyle	paragraphstyle(context[injected]: MutableContext, lineheight: Number? = null, letterspacing: Number? = null, spacing[likely-named]: Number? = null, indent[likely-named]: Number? = null) -> VoidValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Document.kt#L570-L576	#153	NOT_APPLICABLE
captionposition	captionposition(context[injected]: MutableContext, default[likely-named]: CaptionPosition? = null, figures[likely-named]: CaptionPosition? = null, tables[likely-named]: CaptionPosition? = null, code: CaptionPosition? = null) -> VoidValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Document.kt#L603-L609	#153	NOT_APPLICABLE
texmacro	texmacro(context[injected]: MutableContext, name: String, macro[likely-body]: String) -> inferred	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Document.kt#L639-L643	#153	NOT_APPLICABLE
